dataset	training_triples	testing_triples	validation_triples	total_triples	error_rate	time	size	natural_size	training	training_time	testing	testing_time	validation	validation_time
nations	1592	201	199	1992	0.5	0.00017931892949999906	2297	287 Bytes	1.0	0.0001512387844999985	0.52736	9.020558739999984e-05	0.54774	8.29368106000004e-05
nations	1592	201	199	1992	0.2	0.00023818600199999906	5333	666 Bytes	1.0	0.0001990433660000015	0.24876	0.00011501050400000068	0.21106	0.00011349663399999699
nations	1592	201	199	1992	0.1	0.0002849966669999944	7630	953 Bytes	1.0	0.00024986009100000215	0.14428	0.00014899607849999796	0.1206	0.00015889437150000063
nations	1592	201	199	1992	0.01	0.0006289566979999961	15260	1.9 kB	1.0	0.0005753734879999968	0.00498	0.00031767719100000134	0.01005	0.00032373856899999963
nations	1592	201	199	1992	0.001	0.0007254411640000029	22890	2.9 kB	1.0	0.0006342461979999996	0.0	0.0004461715639999966	0.01005	0.00058210914
nations	1592	201	199	1992	0.0001	0.0011175078339999943	30519	3.8 kB	1.0	0.0010360797199999894	0.0	0.000604696673999996	0.0	0.0009110421620000011
nations	1592	201	199	1992	1e-05	0.0012682650999999723	38149	4.8 kB	1.0	0.0011874752900000018	0.0	0.0005933846639999984	0.0	0.000690351433999993
umls	5216	661	652	6529	1.0	0.00019514513149999858	0	0 Bytes	1.0	0.00012093468599999824	1.0	3.110958150000016e-05	1.0	2.8695027650000073e-05
umls	5216	661	652	6529	0.8	0.00031590287799999574	2423	302 Bytes	1.0	0.00021468733999999756	0.882	8.168168299999934e-05	0.89417	6.585678419999966e-05
umls	5216	661	652	6529	0.6	0.0002643575029999994	5546	693 Bytes	1.0	0.00021329021100000034	0.64297	6.626873219999964e-05	0.60736	6.741949719999951e-05
umls	5216	661	652	6529	0.5	0.0003698732340000035	7526	940 Bytes	1.0	0.0003478061890000035	0.55068	0.000110907966500001	0.52761	0.00011128631000000056
umls	5216	661	652	6529	0.2	0.0004976723439999944	17473	2.2 kB	1.0	0.00045458242600000175	0.21785	0.00015571118199999746	0.20399	0.00014959124250000144
umls	5216	661	652	6529	0.1	0.0006011253799999991	24998	3.1 kB	1.0	0.0005602792319999992	0.10893	0.00021521128399999866	0.09816	0.00018666712699999977
umls	5216	661	652	6529	0.01	0.0009705081679999949	49996	6.2 kB	1.0	0.0009469038640000064	0.00756	0.0003290613789999952	0.00767	0.00032583989899998754
umls	5216	661	652	6529	0.001	0.0013468034150000109	74994	9.4 kB	1.0	0.0013886022199999814	0.00151	0.0004571465319999959	0.0	0.00045756373999998346
umls	5216	661	652	6529	0.0001	0.0020155659699999263	99992	12.5 kB	1.0	0.0018937820600000066	0.0	0.0006495585160000133	0.0	0.0006229586259999849
umls	5216	661	652	6529	1e-05	0.00215231720999995	124990	15.6 kB	1.0	0.0023718774700000724	0.0	0.0007469153800000186	0.0	0.0007450344500000199
countries	1110	24	24	1158	1.0	5.930791540000086e-05	0	0 Bytes	1.0	2.7475054399999977e-05	1.0	1.025488244999977e-05	1.0	1.0255689000000245e-05
countries	1110	24	24	1158	0.8	0.0001238932945000002	516	64 Bytes	1.0	7.965875100000233e-05	0.95833	4.646283480000193e-05	0.79167	5.1133591599997885e-05
countries	1110	24	24	1158	0.6	0.00012169356049999891	1181	147 Bytes	1.0	7.628696820000016e-05	0.41667	4.378085639999938e-05	0.5	4.732956199999876e-05
countries	1110	24	24	1158	0.5	0.00017771530649999788	1602	200 Bytes	1.0	0.000121849378499995	0.75	7.530714140000043e-05	0.58333	8.37418127999996e-05
countries	1110	24	24	1158	0.2	0.0002251385400000032	3719	464 Bytes	1.0	0.00018624249650000025	0.25	0.00012316452099999964	0.04167	0.0001278540415000009
countries	1110	24	24	1158	0.1	0.00027817632699999705	5320	665 Bytes	1.0	0.0002791923950000097	0.125	0.0001419698105000009	0.16667	0.00015505767999999875
countries	1110	24	24	1158	0.01	0.000425227987999989	10640	1.3 kB	1.0	0.00040271761199998934	0.0	0.00029835539799999823	0.0	0.00023452056100001074
countries	1110	24	24	1158	0.001	0.0006687611019999906	15960	2.0 kB	1.0	0.0007295495379999864	0.0	0.0005377661740000122	0.0	0.00042403477000002
countries	1110	24	24	1158	0.0001	0.0009269259940000154	21279	2.7 kB	1.0	0.001080244515000004	0.0	0.0005648873499999922	0.0	0.00047908650400000854
countries	1110	24	24	1158	1e-05	0.0010378947400000271	26599	3.3 kB	1.0	0.0012233598899999976	0.0	0.0005531735679999769	0.0	0.0007241938559999994
codexsmall	32888	1828	1827	36543	1.0	0.0004976776839999957	0	0 Bytes	1.0	0.0004217152279999823	1.0	5.437473660000194e-05	1.0	5.170894629999907e-05
codexsmall	32888	1828	1827	36543	0.8	0.0011205463900000013	15275	1.9 kB	1.0	0.001188353384999985	0.88239	0.00013147390349999455	0.88944	0.00013911746899999855
